frame= 2794 fps= 30 q=-1.0 size=    2808kB time=00:01:33.19 bitrate= 246.8kbits/s speed=   1x    
frame= 2809 fps= 30 q=-1.0 size=    2820kB time=00:01:33.69 bitrate= 246.6kbits/s speed=   1x    
frame= 2824 fps= 30 q=-1.0 size=    2832kB time=00:01:34.20 bitrate= 246.3kbits/s speed=   1x    
frame= 2839 fps= 30 q=-1.0 size=    2844kB time=00:01:34.71 bitrate= 246.0kbits/s speed=   1x    
frame= 2855 fps= 30 q=-1.0 size=    2855kB time=00:01:35.22 bitrate= 245.6kbits/s speed=   1x    
frame= 2870 fps= 30 q=-1.0 size=    2866kB time=00:01:35.73 bitrate= 245.2kbits/s speed=   1x    
frame= 2885 fps= 30 q=-1.0 size=    2877kB time=00:01:36.24 bitrate= 244.9kbits/s speed=   1x    
frame= 2900 fps= 30 q=-1.0 size=    2887kB time=00:01:36.73 bitrate= 244.5kbits/s speed=   1x    
frame= 2915 fps= 30 q=-1.0 size=    2898kB time=00:01:37.24 bitrate= 244.1kbits/s speed=   1x    
frame= 2930 fps= 30 q=-1.0 size=    2908kB time=00:01:37.73 bitrate= 243.7kbits/s speed=   1x    
frame= 2945 fps= 30 q=-1.0 size=    2918kB time=00:01:38.24 bitrate= 243.3kbits/s speed=   1x    
frame= 2960 fps= 30 q=-1.0 size=    2959kB time=00:01:38.75 bitrate= 245.5kbits/s speed=   1x    
frame= 2976 fps= 30 q=-1.0 size=    2971kB time=00:01:39.26 bitrate= 245.2kbits/s speed=   1x    
frame= 2991 fps= 30 q=-1.0 size=    2982kB time=00:01:39.77 bitrate= 244.8kbits/s speed=   1x    
frame= 3006 fps= 30 q=-1.0 size=    3006kB time=00:01:40.28 bitrate= 245.5kbits/s speed=   1x    
frame= 3021 fps= 30 q=-1.0 size=    3017kB time=00:01:40.77 bitrate= 245.3kbits/s speed=   1x    
frame= 3037 fps= 30 q=-1.0 size=    3031kB time=00:01:41.30 bitrate= 245.1kbits/s speed=   1x    
frame= 3052 fps= 30 q=-1.0 size=    3042kB time=00:01:41.80 bitrate= 244.8kbits/s speed=   1x    
frame= 3067 fps= 30 q=-1.0 size=    3053kB time=00:01:42.30 bitrate= 244.5kbits/s speed=   1x    
frame= 3082 fps= 30 q=-1.0 size=    3091kB time=00:01:42.81 bitrate= 246.3kbits/s speed=   1x    
frame= 3098 fps= 30 q=-1.0 size=    3103kB time=00:01:43.33 bitrate= 246.0kbits/s speed=   1x    
frame= 3113 fps= 30 q=-1.0 size=    3115kB time=00:01:43.84 bitrate= 245.7kbits/s speed=   1x    
frame= 3128 fps= 30 q=-1.0 size=    3126kB time=00:01:44.33 bitrate= 245.4kbits/s speed=   1x    
frame= 3143 fps= 30 q=-1.0 size=    3137kB time=00:01:44.83 bitrate= 245.1kbits/s speed=   1x    
frame= 3158 fps= 30 q=-1.0 size=    3148kB time=00:01:45.34 bitrate= 244.8kbits/s speed=   1x    
